report_type,report_year,country,reform_title,reform_description,reform_year,coder,model_reasoning,precision,modified_precision,recall,total_recall,years identified,RA year count,claude-sonnet-4-6,year_match_claude,gemini-3.1-pro,year_match_gemini,chatgpt-5.5,year_match_chatgpt,reform_id
SABER_Armenia,2019,Armenia,Strengthening Integrity and Combatting Corruption in Higher Education in Armenia,The project entitled “Strengthening Integrity and Combatting Corruption in Higher Education in Armenia” began in January 2015 with the objective of increasing the general level of integrity and decreasing the incidence of corruption in higher education institutions across the country. The initial step toward that goal was a needs assessment that included interviews with a wide range of stakeholders and culminated in a publication “Risk Analysis of Issues Affecting the Integrity of the Armenian Higher Education System in Armenia.”,2015,Esther,,,,,,2015,3,2,0.66,2,0.66,2,0.66,
SABER_Armenia,2019,Armenia,Regulatin setting a ceiling on tuition fees,"The Ministry of Education, Science, Culture and Sport has effectively set a ceiling on tuition fees. This latter regulation, which was adopted by the Armenian government in 2015, established a formula stipulating the highest limit for tuition fees",2015,Esther,,,,,,2017,0,1,0,0,1,0,1,
SABER_Armenia,2019,Armenia,Change in regulations on student loans,"In March 2019, the Armenian government changed the regulations on student loans: the maximum available amount of a student loan increased from AMD 450,000 (approx.USD 940) per year to AMD 700,000 (approx.USD 1,460) per year. In total students can receive up to AMD 2.8 million (approx. USD 5,840) loans for four years. Students should pay back loans within a period of 10 years. The interest rates on student loans were decreased from 12 percent to 9 percent, and out of this 9 percent rate, 6 percent is to be paid by the student while 3 percent is to be paid by the government. All regular bachelor’s and master’s degree students are eligible for student loans. Since March 2019, clinical residency students are also eligible to receive student loans.",2019,Esther,,,,,,2018,0,1,0,0,1,1,0,
SABER_Armenia,2019,Armenia,Regulatory framework ,"The regulatory framework does not generate a level-playing field. Private universities and cross-border institutions have considerably more autonomy as compared to public universities, particularly with regard to governance and financial matters. The regulatory framework includes some provisions to improve meritocratic human resource practices and horizontal governance practices, but they primarily apply to public universities. ",,Esther,,,,,,2019,1,1,1,1,1,1,1,
SABER_Armenia,2019,Armenia,Development of quality assurance standards,"ANQA has developed quality assurance standards, which are currently being implemented by the institutions.",,Esther,,,,,,NA,17,0,NA,0,NA,3,NA,
SABER_Armenia,2019,Armenia,Private universities allowed to operate,"With the transformation of the Armenian economy to the market system, private universities were allowed to operate, leading to a substantial growth in the number of institutions as well as students.",,Esther,,,,,,total,32,23,0.4205882353,17,0.6658823529,21,0.46,
SABER_Armenia,2019,Armenia,Law on Higher Education,"In its efforts to revise the existing Law on Higher Education in 2017–2018, the ministry held extensive stakeholder consultations and secured the involvement of various stakeholders in presenting the provisions of the proposed law. ",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Program on Anti-Corruption in Education,The strategy accompanies the Program on Anti-Corruption in Education and recognizes higher education as one of the sectors at risk of corruption. ,,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Law on Higher Education,"The Law on Higher Education affords public universities substantial academic autonomy, but in reality most institutions follow state standards for teaching and curriculum.",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Law on Ecological Up-bringing,"The Law on Ecological Up-bringing, mandates that universities teach ecology.",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Law on Higher Education,"According to the Law on Higher Education, the government sets the standards for graduation requirements",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Law on Higher Education,"The Law on Higher Education awards substantial staffing autonomy to tertiary education institutions. They have the authority to hire, promote, and fire academic staff.",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Law on Higher Education,The Law on Higher Education gives universities the autonomy to set tuition fees,,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Law on SNCOs,Universities that are State Non-Commercial Organizations face important limitations under the Law on SNCOs. The Law on SNCOs also limits public universities from using its assets as collateral and mandates that universities seek permission from MoESCS when acquiring a property worth more than the amount stipulated in the law.,,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Statute on Tertiary Accreditation,"In the Statute on Tertiary Accreditation, Principle 5 concerns institutional quality assurance. Within that principle is guidance on faculty and staff and according to this, the institution must provide for a high-quality faculty and staff to achieve its mission and the goals set for its academic programs. There are seven standards under Principle 5, which are as follows:
 1. The institution has policies and procedures promoting recruitment of a highly-qualified teaching and supporting staff capable of ensuring program provision;
 2. The teaching staff qualifications for each program are comprehensively stated;
 3. The institution has well established policies and procedures for the periodic evaluation of the
 teaching staff;
 4. The institution promotes teachers’ professional development in accordance with the needs
 outlined during regular evaluations (both internal and external);
 5. There is necessary permanent staff to provide for the adequate coverage of qualifications;
 6. There are set policies and procedures for staff promotion in general and for young staff in
 particular; and
 7. There are the necessary technical and administrative staff to achieve the strategic goals.",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,The Competitive Innovation Fund (CIF),"The government established the Competitive Innovation Fund (CIF), financed by the World Bank, to encourage innovation in tertiary education. This funding program awards grants to public and private universities on a competitive basis for innovative development projects. The funding windows of CIF are:
1. Consortia projects, uniting the public and private universities, private companies, and other companies as well as research institutions. The maximum grant amount is up to USD 600,000.
2. Public and private university projects targeting specific development and innovation issues at individual institutions and their satellites, taking into consideration strategic development priorities and innovative solutions in the educational sphere. The maximum grant amount is USD 300,000 per project.",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Government Decision No. 597-N,"According to Government Decision No. 597-N, special needs students are admitted to the tertiary education system free of charge upon obtaining at least a passing grade on the national entrance exam. ",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Government Decision No. 1183,"Based on Government Decision No. 1183, a regulation providing student allowances and state scholarships at higher education institutions, individuals in the 1st or 2nd disability category and persons granted a “child with disability” status (as stipulated by the Law on Social Protection of People with Disabilities) are also eligible for free education.",,Esther,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Article 21 of the Law on Higher Education,"Practical training is mentioned in the Law on Higher Education as a required learning activity. According to Article 21 of the law, standards for professions should be developed and all programs must have a practical training component.",,Liam,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Article 11 of the Law on Higher Education,Article 11 of the Law on Higher Education mentions the important role of universities in increasing cultural literacy across society and in developing civic skills.,,Liam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Centralized University Admission Examinations,The government introduced centralized admission examinations for university entry replacing institution-administered exams to reduce corruption and improve transparency in the admissions process.,1990,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Authorization of Private Universities,The government allowed private universities to operate leading to substantial growth in the number of higher education institutions and students.,1995,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on Education,National law adopted in 1999 governing the education system including a separate section on higher education outlining roles of government institutions students faculty and management.,1999,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Government Decree No. 24 on State Standards for Higher and Vocational Education,A government decree requiring tertiary education institutions to adopt educational standards curriculum and teaching practices established by the government.,2001,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on State Non-Commercial Organizations Applied to Public Universities,The legal status of public educational institutions changed from state bodies to state non-commercial organizations making the SNCO Law applicable to public universities and altering their governance and financial frameworks.,2002,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on Foundations Applied to Universities,The Law on Foundations of 2002 was made applicable to universities allowing those that converted to foundation status greater financial autonomy including the ability to carry out entrepreneurial activities and retain revenues.,2002,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on Higher Education and Post Graduate Professional Education,National law adopted by the Armenian Parliament establishing a new governance system for public higher education institutions introducing university boards as main governance bodies defining institutional autonomy management structures and governance models.,2004,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Student Allowances and State Scholarships Regulation,The Government of Armenia adopted a regulation on providing student allowances and state scholarships at higher education institutions providing full or partial tuition compensation to students from disadvantaged backgrounds high-performing students and students with disabilities.,2004,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Bologna Process Adoption and Three-Cycle Higher Education Reform,Armenia joined the Bologna Process and adopted the three-cycle system of higher education (bachelor master aspirantura) reorienting programs on learning outcomes and implementing the European Credit Transfer and Accumulation System (ECTS).,2005,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Establishment of the National Centre for Professional Education Quality Assurance (ANQA),A national quality assurance and accreditation agency for higher education was established to develop accreditation principles and standards and conduct institutional accreditation of universities.,2008,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Regulation on Licensing of Education Programs,The Armenian government adopted a regulation establishing licensing procedures for universities including requirements on academic staff qualifications facilities and defining permissible programs languages of instruction and student enrollment limits.,2009,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Competitive Innovation Fund (CIF) for Tertiary Education,The government established a World Bank-financed competitive grant fund awarding grants to public and private universities on a competitive basis for innovative development projects in tertiary education.,2009,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Second Education Quality and Relevance Project - TEMIS Component,A World Bank-supported project component implemented from 2009 to 2014 to support the creation of an integrated Tertiary Education Management Information System (TEMIS) for policy planning management monitoring and evaluation of the higher education sector.,2009,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Admission Examination Requirement for Private University Applicants,The government introduced a regulation requiring private university applicants to sit for the same admission examinations as public university applicants reducing the number of applicants gaining admission to private institutions.,2010,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Statute on State Accreditation of Tertiary Level Institutions and Academic Programs,A government decree established mandatory institutional accreditation requirements for all tertiary education institutions setting out a three-phase accreditation process and consequences for non-compliance.,2011,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,State Program for Education Development 2011-2015,A government-approved national education development program outlining key objectives for tertiary education including introduction of a national qualifications framework quality assurance system higher education funding reform and promotion of student mobility.,2011,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Procedures on Academic Mobility of Higher Educational Institution Students,A provision adopted under the Law on Higher Education regulating academic mobility of students in higher education and supporting student transfer and credit recognition at national and international levels.,2011,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,List of Professions and Qualifications,The Armenian government approved a list of professions and qualifications that universities may offer degree programs in requiring government approval for any new program not on the list.,2014,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Tuition Fee Ceiling Regulation,The Armenian government adopted a regulation establishing a formula stipulating the highest permissible limit for tuition fees at public universities.,2015,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Anti-Corruption Strategy for Higher Education 2015-2018,The Government of Armenia developed a national anti-corruption strategy for 2015-2018 with an action plan listing higher education as a priority and accompanying a Programme on Anti-Corruption in Education.,2015,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Programme on Anti-Corruption Measures in Education,A government-approved programme presented by the Anti-Corruption Council task force establishing measures to address corruption and plagiarism in higher education including databases for dissertations and procedures to safeguard graduate-level work.,2017,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Post-Velvet Revolution Reform of Public University Boards,Following the 2018 velvet revolution the boards of public universities were restructured so that the highest-level political leaders (president prime minister speaker of parliament ministers) could no longer chair university boards reducing direct political control over university governance.,2018,claude-sonnet-4-6,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Student Loan Program Regulation Reform,The Armenian government changed the regulations on student loans in March 2019 increasing the maximum annual loan amount from AMD 450000 to AMD 700000 reducing interest rates from 12 percent to 9 percent and extending eligibility to clinical residency students.,2019,claude-sonnet-4-6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Centralized Admission Exams,Introduction of centralized university admission exams to replace institution-level entrance procedures and address public distrust.[cite: 1],1990,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on Education,A national education law that includes a dedicated section establishing regulations and policies for the Higher Education sector.[cite: 1],1999,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Government Decree No. 24 on State Standards,"A decree requiring tertiary education institutions to adopt educational standards, curriculum, and teaching practices established by the government.[cite: 1]",2001,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on State Non-Commercial Organizations (SNCO Law) Application,"A legal shift applying the SNCO Law to public educational institutions, changing their legal status from state bodies to state non-commercial organizations and altering their governance.[cite: 1]",2002,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on Higher Education and Post-Graduate Education,"Adoption of a higher education law that defined higher education policy, quality assurance, institutional autonomy, and introduced university boards as the main governance bodies for public higher education institutions.[cite: 1]",2004,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Bologna Process Integration,"Adoption of the three-cycle system of higher education, reorienting academic programs around learning outcomes, and introducing the European Credit Transfer and Accumulation System (ECTS).[cite: 1]",2005,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Establishment of the National Center for Professional Education Quality Assurance (ANQA),"Creation of an independent national agency responsible for undertaking studies, developing accreditation principles, and enforcing quality assurance standards across tertiary education institutions.[cite: 1]",2008,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Second Education Quality and Relevance Project,"A World Bank-financed project component implemented to create an integrated Tertiary Education Management Information System (TEMIS) to support policy planning, management, and monitoring of the sector.[cite: 1]",2009,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Regulation on Licensing of Education Programs,"A government regulation establishing licensing requirements for universities, including specific criteria for academic staff qualifications, facilities, languages of instruction, and enrollment caps.[cite: 1]",2009,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Private University Admission Regulation,Introduction of a regulation requiring applicants to private universities to pass the same unified national admission examinations as public university applicants.[cite: 1],2010,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,State Program for Education Development 2011-2015,"A strategic state program establishing goals for the higher education sector, including introducing a national qualifications framework and strengthening the quality assurance system.[cite: 1]",2011,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Statute on State Accreditation of Tertiary Level Institutions and Academic Programs,"Legislation mandating institutional accreditation for universities and outlining a three-phase accreditation process involving self-evaluation, external review, and accreditation status decisions.[cite: 1]",2011,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Procedures on Academic Mobility of Higher Educational Institution Students,A regulation adopted to govern and facilitate the academic mobility of students within the higher education system.[cite: 1],2011,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,List of Professions and Qualifications,Government approval of a centralized list restricting universities to offering only recognized degree programs unless explicit government approval is granted for new ones.[cite: 1],2014,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Anti-Corruption Strategy (2015-2018),"A national strategy and action plan designating higher education as a priority sector for targeted anti-corruption measures, including protocols to establish databases and procedures to combat plagiarism.[cite: 1]",2015,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Tuition Fee Ceiling Regulation,A government regulation establishing a formula that imposes a maximum limit on the tuition fees universities are permitted to charge.[cite: 1],2015,gemini-3.1-pro,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Student Loan Regulations Adjustment,"Government policy changes that increased the maximum available student loan amounts, lowered interest rates, subsidized interest payments, and expanded loan eligibility to clinical residency students.[cite: 1]",2019,gemini-3.1-pro,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Centralized university admission exams,The government introduced centralized admission examinations for higher education in response to distrust of university entrance procedures and protests over access to university places.,1990,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Authorization of private higher education institutions,"Private universities were allowed to operate as Armenia shifted toward a market economy, expanding the number and types of higher education providers.",1995,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on Education,National education legislation adopted in 1999 that included a separate section on higher education and helped define the legal framework for the sector.,1999,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Conversion of public education institutions to state non-commercial organizations,"Public educational institutions changed legal status from state bodies to state non-commercial organizations, subjecting public universities to the Law on State Non-Commercial Organizations.",2002,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Law on Higher Education and Post-Graduate Professional Education,"National higher education legislation defining higher education policy, quality assurance, institutional autonomy, management structures, and governance models, including university boards as main governance bodies of public universities.",2004,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Mandatory practical training in higher education programs,Article 21 of the Law on Higher Education required standards for professions to be developed and required all higher education programs to include a practical training component for which students can earn credits.,2004,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Bologna Process higher education reforms,Armenia joined the Bologna Process and adopted a three-cycle higher education degree structure while reorienting programs toward learning outcomes and the European Credit Transfer and Accumulation System.,2005,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Establishment of the National Center for Professional Education Quality Assurance,"Creation of ANQA as the national quality assurance and accreditation agency for tertiary education, responsible for developing accreditation principles, standards, and accreditation processes.",2008,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Regulation on Licensing of Education Programs,"Government regulation establishing licensing procedures for universities, including requirements for academic staffing, facilities, specialty licensing, language of instruction, program type, and maximum student enrollment.",2009,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Integrated Tertiary Education Management Information System,"The Second Education Quality and Relevance Project supported creation of an integrated TEMIS for higher education policy planning, management, monitoring, evaluation, budgeting, and institutional data collection.",2009,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Extension of admission examination requirements to private universities,"The government introduced a regulation requiring applicants to private universities, like applicants to public universities, to sit for admission examinations.",2010,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,State Program for Education Development 2011–2015,"Government education development program setting tertiary education objectives including a national qualifications framework, national quality assurance, stable higher education funding, recognition of qualifications, student mobility, and stronger links between higher education institutions and employers.",2011,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Statute on State Accreditation of Tertiary Level Institutions and Academic Programs,National accreditation statute requiring tertiary institutions to apply for institutional accreditation and establishing accreditation standards and procedures for tertiary education institutions and academic programs.,2011,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Procedures on Academic Mobility of Higher Educational Institution Students,"Regulation under the Law on Higher Education governing academic mobility of higher education students and supporting credit recognition through mechanisms such as ECTS, the Diploma Supplement, and ARMENIC.",2011,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Tuition fee ceiling formula,Government regulation establishing a formula that set the highest limit for tuition fees in public higher education institutions.,2015,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Anti-corruption strategy for higher education,Government anti-corruption strategy for 2015–2018 with an action plan identifying higher education as a priority sector and accompanying the Program on Anti-Corruption in Education.,2015,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Public university board depoliticization,"After the 2018 revolution, public university boards were changed so that high-level political leaders could still serve on boards but could no longer head them; later boards no longer included the president, prime minister, speaker of Parliament, or ministers.",2018,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Student loan regulation reform,"The government changed student loan regulations by increasing the maximum annual loan amount, lowering interest rates, introducing a government interest subsidy, setting a ten-year repayment period, and extending eligibility to clinical residency students.",2019,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Competitive Innovation Fund,"Government-established World Bank-financed competitive grant program awarding funding to public and private universities for innovation, development projects, research capacity, and links between higher education and the labor market.",,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Student allowances and state scholarships regulation,"Government regulation providing full or partial tuition compensation and state scholarships for high-performing students, disadvantaged social groups, students without parental care, students with disabilities, children of deceased military members, and students in state-priority fields.",,chatgpt-5.5,,,,,,,,,,,,,,
SABER_Armenia,2019,Armenia,Free tertiary education access for special needs students,Government Decision No. 597-N provided that special needs students could enter tertiary education free of charge after obtaining at least a passing grade on the national entrance examination.,,chatgpt-5.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WBSAR_Bangladesh,1982,Bangladesh,Creation of the Institute of Business Administration (IBA) at the Dacca University,"Prior to the early sixties, management education was not considered to be a legitimate and rewarding area of academic pursuit beyond offering instruction in the traditional commerce subjects. Likewise, need for systematic and properly designed management training programs was also not recognized and suich training was limited to a few vocational training centers and some narrow-based departmental training programs. Creation of the Institute of Business Administration (IBA) at the Dacca University during the mid-sixties brought a radical change in the above situation.",1960,Esther,,,,,,,,,,,,,,
WBSAR_Bangladesh,1982,Bangladesh,Creation of the Bangladesh Management Development Center (BMDC),"Prior to the early sixties, management education was not considered to be a legitimate and rewarding area of academic pursuit beyond offering instruction in the traditional commerce subjects. Likewise, need for systematic and properly designed management training programs was also not recognized and suich training was limited to a few vocational training centers and some narrow-based departmental training programs. Creation of the Bangladesh Management Development Center (BMDC) in 1961 brought a radical change in the above situation.",1961,Esther,,,,,,,,,,,,,,
WBSAR_Bangladesh,1982,Bangladesh,Creation of the Bangladesh Management Development Center (BMDC),Bangladesh Management Development Center (BMDC) is the only specialized institution for providing in-service management training for lower and mid-level management personnel. BMDC was created in 1961 under the Ministry of Labor and was originally oriented toward the training of supervisors.,1961,Esther,,,,,,,,,,,,,,
WBSAR_Bangladesh,1982,Bangladesh,Beginnning of 9-month diploma courses,9-month diploma courses in personnel management and which were started in 1961,1961,Esther,,,,,,,,,,,,,,
WBSAR_Bangladesh,1982,Bangladesh,Change in orientation of the Bangladesh Management Development Center (BMDC),"Bangladesh Management Development Center (BMDC) is the only specialized institution for providing in-service management training for lower and mid-level management personnel. BMDC was created in 1961 under the Ministry of Labor and was originally oriented toward the training of supervisors. However, this orientation has changed over the years, particularly since 1976 when it was transferred to the Ministry of Industries. Its training programs are now geared towards not only the supervisory personnel but also junior and mid-level management and some top level management personnel.",1976,Esther,,,,,,,,,,,,,,
WBSAR_Bangladesh,1982,Bangladesh,The Second Five Year Plan (SYFP) ,"The Second Five Year Plan (SYFP) of Bangladesh has emphasized the importance of bringing about qualitative and quantitative improvements in the country's management scene. Towards that end, the Plan has proposed development of an institutional base that would foster the growth of effective education, training and research programs in regard to (a) public administration and (b) management of business and industrial enterprises. The proposed project, which was identified in very broad terms in 1978 by an IDA Education and Training Sector Review Mission, has been designed to provide integrated support for all levels of business management education and training programs in Bangladesh in order to overcome some of the basic weaknesses in the system.",1978,Esther,,,,,,,,,,,,,,
WBSAR_Bangladesh,1982,Bangladesh,Required training program,"All project staff will undergo a training program during the first year ot the project to familiarize them with project concepts and objectives. Progress has been steady, since it was declared effective in December 1980. The training program for PIU staft, administrators, evaluators and teachers in the primary education system is on schedule.",1980,Esther,,,,,,,,,,,,,,
